SCHOOLYEAR,SCHOOLCODE,COUNTY,PUB-PRIV,PUBLICSCHOOLDISTRICT,CITY,SCHOOLNAME,ENROLLMENT,REPORTED,CATEGORY,COUNT,PERCENT,ANNOTATION
2016-2017,100016,MADERA,PUBLIC,MADERA UNIFIED,MADERA,SHERMAN THOMAS CHARTER,26,Y,CONDITIONAL,0,0,
2016-2017,100040,SACRAMENTO,PUBLIC,GALT JOINT UNION ELEMENTARY,GALT,ROBERT L. MCCAFFREY MIDDLE,472,Y,CONDITIONAL,0,0,
2016-2017,100156,KINGS,PUBLIC,LEMOORE UNION ELEMENTARY,LEMOORE,LEMOORE UNIVERSITY ELEMENTARY CHARTER,59,Y,CONDITIONAL,0,0,
2016-2017,100206,SAN JOAQUIN,PUBLIC,STOCKTON UNIFIED,STOCKTON,GEORGE W. BUSH ELEMENTARY,93,Y,CONDITIONAL,0,0,
2016-2017,100263,RIVERSIDE,PUBLIC,COACHELLA VALLEY UNIFIED,THERMAL,TORO CANYON MIDDLE,584,Y,CONDITIONAL,0,0,
2016-2017,100479,CONTRA COSTA,PUBLIC,ANTIOCH UNIFIED,ANTIOCH,DALLAS RANCH MIDDLE,342,Y,CONDITIONAL,0,0,
2016-2017,100487,SACRAMENTO,PUBLIC,TWIN RIVERS UNIFIED,SACRAMENTO,NORWOOD JUNIOR HIGH,354,Y,CONDITIONAL,0,0,
2016-2017,100495,TULARE,PUBLIC,TULARE CITY,TULARE,LOS TULES MIDDLE,251,Y,CONDITIONAL,0,0,
2016-2017,100537,SUTTER,PUBLIC,YUBA CITY UNIFIED,YUBA CITY,ANDROS KARPEROS,206,Y,CONDITIONAL,0,0,
2016-2017,100669,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,STELLA MIDDLE CHARTER ACADEMY,121,Y,CONDITIONAL,0,0,
2016-2017,100776,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SUN VALLEY,NORTH VALLEY MILITARY INSTITUTE COLLEGE PREPARATORY ACADEMY,105,Y,CONDITIONAL,0,0,
2016-2017,100867,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,KIPP LOS ANGELES COLLEGE PREPARATORY,125,Y,CONDITIONAL,0,0,
2016-2017,100891,ORANGE,PUBLIC,CAPISTRANO UNIFIED,SAN CLEMENTE,VISTA DEL MAR MIDDLE,214,Y,CONDITIONAL,1,0,
2016-2017,100891,ORANGE,PUBLIC,CAPISTRANO UNIFIED,SAN CLEMENTE,VISTA DEL MAR MIDDLE,214,Y,OVERDUE,1,0,
2016-2017,100917,ORANGE,PUBLIC,CAPISTRANO UNIFIED,LADERA RANCH,LADERA RANCH MIDDLE,525,Y,CONDITIONAL,1,0,
2016-2017,100917,ORANGE,PUBLIC,CAPISTRANO UNIFIED,LADERA RANCH,LADERA RANCH MIDDLE,525,Y,OVERDUE,0,0,
2016-2017,100941,RIVERSIDE,PUBLIC,VAL VERDE UNIFIED,PERRIS,LAKESIDE MIDDLE,635,Y,CONDITIONAL,0,0,
2016-2017,100966,RIVERSIDE,PUBLIC,CORONA-NORCO UNIFIED,CORONA,EL CERRITO MIDDLE,536,Y,CONDITIONAL,0,0,
2016-2017,100990,SANTA CLARA,PUBLIC,GILROY UNIFIED,GILROY,SOLORSANO MIDDLE,256,Y,CONDITIONAL,0,0,
2016-2017,101014,KERN,PUBLIC,GREENFIELD UNION,BAKERSFIELD,MCKEE MIDDLE,344,Y,CONDITIONAL,0,0,
2016-2017,101022,LOS ANGELES,PUBLIC,WILLIAM S. HART UNION HIGH,SANTA CLARITA,RIO NORTE JUNIOR HIGH,620,Y,CONDITIONAL,0,0,
2016-2017,101048,SACRAMENTO,PUBLIC,SACRAMENTO CITY UNIFIED,SACRAMENTO,ST. HOPE PUBLIC SCHOOL 7,80,Y,CONDITIONAL,0,0,
2016-2017,101071,SAN DIEGO,PUBLIC,OCEANSIDE UNIFIED,OCEANSIDE,COASTAL ACADEMY,205,Y,OVERDUE,1,0,
2016-2017,101105,RIVERSIDE,PUBLIC,TEMECULA VALLEY UNIFIED,TEMECULA,ERLE STANLEY GARDNER MIDDLE,402,Y,CONDITIONAL,0,0,
2016-2017,101170,RIVERSIDE,PUBLIC,Perris Union High,PERRIS,CALIFORNIA MILITARY INSTITUTE,155,Y,CONDITIONAL,0,0,
2016-2017,101170,RIVERSIDE,PUBLIC,Perris Union High,PERRIS,CALIFORNIA MILITARY INSTITUTE,155,Y,OTHERS,0,0,
